iter	MultiClass
0	1.079560069
1	0.8841464918
2	0.7571013413
3	0.6887154095
4	0.5870432343
5	0.5082902333
6	0.4669517253
7	0.4294717696
8	0.3898105612
9	0.3600354366
10	0.3353341578
11	0.3199615104
12	0.2921468565
13	0.2745296463
14	0.2601338532
15	0.2463131502
16	0.227882692
17	0.2184074277
18	0.2106061454
19	0.20282563
20	0.1891623067
21	0.1788091357
22	0.1692463401
23	0.1626471868
24	0.1555189073
25	0.1515020898
26	0.146264922
27	0.1413404577
28	0.1380144292
29	0.1319201825
30	0.1272930946
31	0.1243615081
32	0.1181010372
33	0.1144437901
34	0.1113047264
35	0.1075752995
36	0.1044967559
37	0.1015797733
38	0.09850274674
39	0.09593712719
40	0.09390597639
41	0.09215806444
42	0.08943746028
43	0.08748313951
44	0.08445680953
45	0.08205503142
46	0.07942729645
47	0.07776145171
48	0.07552595531
49	0.07430553496
50	0.07251204881
51	0.07128630308
52	0.06943590312
53	0.06779363943
54	0.06669544339
55	0.06506893164
56	0.06331110264
57	0.0619857978
58	0.060273085
59	0.05901332558
60	0.05776767133
61	0.05633758232
62	0.05517676129
63	0.05439764985
64	0.05366715232
65	0.05278718901
66	0.05171876599
67	0.05056634793
68	0.04980306437
69	0.04910569073
70	0.04826491305
71	0.04734993227
72	0.04651868477
73	0.04565481512
74	0.04508799403
75	0.04414376432
76	0.04348468174
77	0.042591444
78	0.04173843045
79	0.04129746125
80	0.04058282601
81	0.03962415366
82	0.03913417872
83	0.03875666705
84	0.03804570182
85	0.03757446912
86	0.03703184605
87	0.03657620763
88	0.03614900936
89	0.0356223647
90	0.03535891918
91	0.03501396141
92	0.03444128294
93	0.03413957788
94	0.03377407602
95	0.03345400343
96	0.03310351988
97	0.03273295875
98	0.0320290451
99	0.03151461786
100	0.03109033395
101	0.03078017862
102	0.03027624173
103	0.02981507173
104	0.02960898701
105	0.0292381662
106	0.02896354946
107	0.02868282164
108	0.02837945964
109	0.02800328602
110	0.02765481734
111	0.02747937536
112	0.0270086877
113	0.02662611995
114	0.02635531834
115	0.02614733023
116	0.02590302966
117	0.02555921991
118	0.02525431185
119	0.02509257491
120	0.02477497507
121	0.02454005444
122	0.02415062144
123	0.02397721811
124	0.02380986428
125	0.02348258591
126	0.02321435545
127	0.02297839331
128	0.02278887547
129	0.02259605124
130	0.0223468145
131	0.02218465084
132	0.02200635941
133	0.02181297774
134	0.02164052292
135	0.02140017529
136	0.02118504705
137	0.02100650788
138	0.02083560317
139	0.0206087419
140	0.02038020658
141	0.0201544859
142	0.02000103714
143	0.01986252448
144	0.01965715971
145	0.01952380644
146	0.01938691026
147	0.01922043738
148	0.01904330511
149	0.01893493087
150	0.01870482495
151	0.01856164979
152	0.01847167003
153	0.01828809525
154	0.01811081843
155	0.01797983321
156	0.01778687167
157	0.01769317172
158	0.01757446767
159	0.017455062
160	0.01733225163
161	0.01720719291
162	0.01704416377
163	0.01693962455
164	0.01682579345
165	0.01671606007
166	0.0166407981
167	0.01653046377
168	0.01643300036
169	0.01628343973
170	0.01621465766
171	0.01606949934
172	0.01598467903
173	0.01585502
174	0.01577424046
175	0.01569197401
176	0.01563235904
177	0.01556880086
178	0.01545556942
179	0.01530160601
180	0.0152236815
181	0.0150685374
182	0.01496090751
183	0.01483002494
184	0.01473933577
185	0.01457881393
186	0.01448148601
187	0.01439671924
188	0.01428438283
189	0.01418508849
190	0.01411120401
191	0.01397790828
192	0.01389117251
193	0.01380691343
194	0.01372934573
195	0.01361816346
196	0.01354850559
197	0.01346267811
198	0.01338823475
199	0.01326878833
200	0.01319877755
201	0.01315594941
202	0.01306719986
203	0.01301876475
204	0.01295268206
205	0.01290543074
206	0.01286216355
207	0.01276844499
208	0.01268915897
209	0.01264920803
210	0.01254423668
211	0.01248390955
212	0.01243210601
213	0.01239273314
214	0.01230219002
215	0.01224794962
216	0.01218228769
217	0.01210382872
218	0.0120159143
219	0.01193226093
220	0.01187051767
221	0.01177485224
222	0.01172448787
223	0.01167678502
224	0.01164131106
225	0.01158963658
226	0.01151463568
227	0.0114368611
228	0.01140055805
229	0.01132309532
230	0.01127161981
231	0.01120686143
232	0.01113302331
233	0.01109696356
234	0.01102702301
235	0.01098878087
236	0.01093074059
237	0.01085773908
238	0.01077367267
239	0.01072654087
240	0.01067316235
241	0.01064162825
242	0.01059868272
243	0.01056396533
244	0.01051941777
245	0.01048532047
246	0.01043827827
247	0.01038163119
248	0.01032536949
249	0.01028200704
250	0.01024670994
251	0.01020341776
252	0.0101304252
253	0.01010661236
254	0.01006636483
255	0.009997800661
256	0.009951611464
257	0.009908939936
258	0.009874006563
259	0.009839063504
260	0.009781275103
261	0.0097173217
262	0.009682928718
263	0.009632878739
264	0.009566243355
265	0.009525047126
266	0.009478258511
267	0.009448077656
268	0.009396349348
269	0.009361109563
270	0.009304525072
271	0.009281436818
272	0.009258828785
273	0.009225226724
274	0.009203877594
275	0.009179621666
276	0.009150581968
277	0.009089960619
278	0.009047732436
279	0.009019226968
280	0.008972717475
281	0.008945677525
282	0.008912068574
283	0.008862893035
284	0.008833019016
285	0.008799780629
286	0.008736930706
287	0.008701204298
288	0.008670500239
289	0.008643701174
290	0.008610396337
291	0.008571390767
292	0.008544249302
293	0.008514413201
294	0.008490622228
295	0.008462646821
296	0.008436115592
297	0.008416074808
298	0.008377675374
299	0.008352150225
